File,Arg,Type,Constr,Descp
mxnet.ndarray.Embedding,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64', 'numpy.int32', 'numpy.int64', 'numpy.int8', 'numpy.uint8']",Data type of weight.
mxnet.ndarray.Embedding,output_dim,nonprim_dtype,['list'],Dimension of the embedding vectors.
mxnet.ndarray.sparse.Embedding,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64', 'numpy.int32', 'numpy.int64', 'numpy.int8', 'numpy.uint8']",Data type of weight.
mxnet.ndarray.sparse.Embedding,output_dim,nonprim_dtype,['list'],Dimension of the embedding vectors.
mxnet.contrib.ndarray.dgl_graph_compact,graph_sizes,nonprim_dtype,['tuple'],the number of vertices in each graph.
mxnet.ndarray.op.scatter_nd,shape,nonprim_dtype,['tuple'],Shape of output.
mxnet.gluon.model_zoo.vision.vgg19_bn,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.ndarray.flip,axis,nonprim_dtype,['tuple'],The axis which to reverse elements.
mxnet.ndarray.op.broadcast_axes,axis,nonprim_dtype,['tuple'],The axes to perform the broadcasting.
mxnet.ndarray.op.broadcast_axes,size,nonprim_dtype,['tuple'],Target sizes of the broadcasting axes.
mxnet.ndarray.op.softmin,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",DType of the output in case this can't be inferred. Defaults to the same as input's dtype if not defined (dtype=None).
mxnet.gluon.model_zoo.vision.vgg16,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.ndarray.arange,infer_range,nonprim_dtype,['tensor'],"Infer the stop position from the start, step, repeat, and output tensor size. Deprecated. Only False is supported."
mxnet.test_utils.assert_almost_equal_ignore_nan,a,nonprim_dtype,['ndarray'],
mxnet.test_utils.assert_almost_equal_ignore_nan,b,nonprim_dtype,['ndarray'],
mxnet.ndarray.multi_mp_sgd_update,lrs,prim_dtype,['float'],Learning rates.
mxnet.ndarray.multi_mp_sgd_update,lrs,nonprim_dtype,['tuple'],Learning rates.
mxnet.ndarray.multi_mp_sgd_update,wds,prim_dtype,['float'],Weight decay augments the objective function with a regularization term that penalizes large weights. The penalty scales with the square of the magnitude of each weight.
mxnet.ndarray.multi_mp_sgd_update,wds,nonprim_dtype,['tuple'],Weight decay augments the objective function with a regularization term that penalizes large weights. The penalty scales with the square of the magnitude of each weight.
mxnet.ndarray.contrib.CTCLoss,use_data_lengths,nonprim_dtype,['list'],"Whether the data lenghts are decided by data_lengths. If false, the lengths are equal to the max sequence length."
mxnet.gluon.model_zoo.vision.densenet169,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.ndarray.SequenceReverse,axis,nonprim_dtype,['list'],The sequence axis. Only 0 is currently supported.
mxnet.ndarray.SequenceReverse,use_sequence_length,nonprim_dtype,['list'],"If set to true, this layer takes in an extra input parameter sequence_length to specify variable length sequence"
mxnet.gluon.model_zoo.vision.get_mobilenet,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.gluon.nn.MaxPool2D,ceil_mode,prim_dtype,['boolean'],"When True, will use ceil instead of floor to compute the output shape."
mxnet.ndarray.RNN,state_size,prim_dtype,['int'],size of the state for each layer
mxnet.ndarray.RNN,use_sequence_length,nonprim_dtype,['list'],"If set to true, this layer takes in an extra input parameter sequence_length to specify variable length sequence"
mxnet.ndarray.contrib.count_sketch,processing_batch_size,nonprim_dtype,['list'],How many sketch vectors to process at one time.
mxnet.ndarray.GridGenerator,target_shape,nonprim_dtype,['tuple'],"Specifies the output shape (H, W). This is required if transformation type is affine. If transformation type is warp, this parameter is ignored."
mxnet.ndarray.op.reshape,shape,nonprim_dtype,['tuple'],The target shape
mxnet.ndarray.op.reshape,target_shape,nonprim_dtype,['tuple'],"(Deprecated! Use `shape` instead.) Target new shape. One and only one dim can be 0, in which case it will be inferred from the rest of dims"
mxnet.gluon.model_zoo.vision.resnet18_v1,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.ndarray.op.random_gamma,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",DType of the output in case this can't be inferred. Defaults to float32 if not defined (dtype=None).
mxnet.ndarray.op.random_gamma,shape,nonprim_dtype,['tuple'],Shape of the output.
mxnet.ndarray.sample_multinomial,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64', 'numpy.int32', 'numpy.uint8']",DType of the output in case this can't be inferred.
mxnet.ndarray.sample_multinomial,shape,nonprim_dtype,['tuple'],Shape to be sampled from each random distribution.
mxnet.ndarray.sample_gamma,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",DType of the output in case this can't be inferred. Defaults to float32 if not defined (dtype=None).
mxnet.ndarray.sample_gamma,shape,nonprim_dtype,['tuple'],Shape to be sampled from each random distribution.
mxnet.gluon.rnn.LSTM,bidirectional,prim_dtype,['boolean'],"If True, becomes a bidirectional RNN."
mxnet.gluon.rnn.LSTM,h2h_bias_initializer,nonprim_dtype,['list'],Initializer for the bias vector.
mxnet.gluon.rnn.LSTM,i2h_bias_initializer,nonprim_dtype,['list'],"Initializer for the bias vector. By default, bias for the forget gate is initialized to 1 while all other biases are initialized to zero."
mxnet.gluon.rnn.LSTM,state_clip_nan,prim_dtype,['boolean'],"Whether to stop NaN from propagating in state by clipping it to min/max. If the clipping range is not specified, this option is ignored."
mxnet.ndarray.amp_cast,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64', 'numpy.int32', 'numpy.int64', 'numpy.int8', 'numpy.uint8']",Output data type.
mxnet.gluon.rnn.LSTMCell,h2h_bias_initializer,nonprim_dtype,['list'],Initializer for the bias vector.
mxnet.gluon.rnn.LSTMCell,i2h_bias_initializer,nonprim_dtype,['list'],Initializer for the bias vector.
mxnet.ndarray.softmin,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",DType of the output in case this can't be inferred. Defaults to the same as input's dtype if not defined (dtype=None).
mxnet.ndarray.op.multi_all_finite,num_arrays,nonprim_dtype,['ndarray'],Number of arrays.
mxnet.ndarray.broadcast_axes,axis,nonprim_dtype,['tuple'],The axes to perform the broadcasting.
mxnet.ndarray.broadcast_axes,size,nonprim_dtype,['tuple'],Target sizes of the broadcasting axes.
mxnet.ndarray.random_negative_binomial,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",DType of the output in case this can't be inferred. Defaults to float32 if not defined (dtype=None).
mxnet.ndarray.random_negative_binomial,shape,nonprim_dtype,['tuple'],Shape of the output.
mxnet.contrib.ndarray.count_sketch,processing_batch_size,nonprim_dtype,['list'],How many sketch vectors to process at one time.
mxnet.gluon.rnn.GRU,bidirectional,prim_dtype,['boolean'],"If True, becomes a bidirectional RNN."
mxnet.gluon.rnn.GRU,h2h_bias_initializer,nonprim_dtype,['list'],Initializer for the bias vector.
mxnet.gluon.rnn.GRU,i2h_bias_initializer,nonprim_dtype,['list'],Initializer for the bias vector.
mxnet.ndarray.op.ROIPooling,pooled_size,nonprim_dtype,['tuple'],"ROI pooling output shape (h,w)"
mxnet.ndarray.softmax,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",DType of the output in case this can't be inferred. Defaults to the same as input's dtype if not defined (dtype=None).
mxnet.ndarray.op.softmax,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",DType of the output in case this can't be inferred. Defaults to the same as input's dtype if not defined (dtype=None).
mxnet.ndarray.op.pad,mode,nonprim_dtype,['ndarray'],"Padding type to use. ""constant"" pads with constant_value ""edge"" pads using the edge values of the input array ""reflect"" pads by reflecting values with respect to the edges."
mxnet.ndarray.Convolution,dilate,nonprim_dtype,['tuple'],"Convolution dilate: (w,), (h, w) or (d, h, w). Defaults to 1 for each dimension."
mxnet.ndarray.Convolution,kernel,nonprim_dtype,['tuple'],"Convolution kernel size: (w,), (h, w) or (d, h, w)"
mxnet.ndarray.Convolution,num_filter,prim_dtype,['int'],Convolution filter(channel) number
mxnet.ndarray.Convolution,pad,nonprim_dtype,['tuple'],"Zero pad for convolution: (w,), (h, w) or (d, h, w). Defaults to no padding."
mxnet.ndarray.Convolution,stride,nonprim_dtype,['tuple'],"Convolution stride: (w,), (h, w) or (d, h, w). Defaults to 1 for each dimension."
mxnet.gluon.nn.Conv3D,bias_initializer,nonprim_dtype,['list'],Initializer for the bias vector.
mxnet.gluon.nn.Conv3D,use_bias,nonprim_dtype,['list'],Whether the layer uses a bias vector.
mxnet.contrib.quantization.quantize_net,calib_data,nonprim_dtype,['list'],A iterable data loading object.
mxnet.contrib.quantization.quantize_net,network,prim_dtype,['numpy.float32'],Defines the structure of a neural network for FP32 data types.
mxnet.ndarray.op.multi_mp_sgd_mom_update,lrs,prim_dtype,['float'],Learning rates.
mxnet.ndarray.op.multi_mp_sgd_mom_update,lrs,nonprim_dtype,['tuple'],Learning rates.
mxnet.ndarray.op.multi_mp_sgd_mom_update,wds,prim_dtype,['float'],Weight decay augments the objective function with a regularization term that penalizes large weights. The penalty scales with the square of the magnitude of each weight.
mxnet.ndarray.op.multi_mp_sgd_mom_update,wds,nonprim_dtype,['tuple'],Weight decay augments the objective function with a regularization term that penalizes large weights. The penalty scales with the square of the magnitude of each weight.
mxnet.ndarray.op.Convolution,dilate,nonprim_dtype,['tuple'],"Convolution dilate: (w,), (h, w) or (d, h, w). Defaults to 1 for each dimension."
mxnet.ndarray.op.Convolution,kernel,nonprim_dtype,['tuple'],"Convolution kernel size: (w,), (h, w) or (d, h, w)"
mxnet.ndarray.op.Convolution,num_filter,prim_dtype,['int'],Convolution filter(channel) number
mxnet.ndarray.op.Convolution,pad,nonprim_dtype,['tuple'],"Zero pad for convolution: (w,), (h, w) or (d, h, w). Defaults to no padding."
mxnet.ndarray.op.Convolution,stride,nonprim_dtype,['tuple'],"Convolution stride: (w,), (h, w) or (d, h, w). Defaults to 1 for each dimension."
mxnet.ndarray.op.SequenceMask,axis,nonprim_dtype,['list'],The sequence axis. Only values of 0 and 1 are currently supported.
mxnet.ndarray.op.SequenceMask,use_sequence_length,nonprim_dtype,['list'],"If set to true, this layer takes in an extra input parameter sequence_length to specify variable length sequence"
mxnet.gluon.model_zoo.vision.alexnet,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.gluon.model_zoo.vision.densenet121,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.ndarray.random_exponential,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",DType of the output in case this can't be inferred. Defaults to float32 if not defined (dtype=None).
mxnet.ndarray.random_exponential,shape,nonprim_dtype,['tuple'],Shape of the output.
mxnet.gluon.nn.Lambda,function,nonprim_dtype,['ndarray'],"Function used in lambda must be one of the following: 1) the name of an operator that is available in ndarray. For example: block = Lambda('tanh')   <ol class=""arabic"" start=""2""> a function that conforms to `def function(*args)`. For example: block = Lambda(lambda x: nd.LeakyReLU(x, slope=0.1))   "
mxnet.gluon.contrib.rnn.LSTMPCell,h2h_bias_initializer,nonprim_dtype,['list'],Initializer for the bias vector.
mxnet.gluon.contrib.rnn.LSTMPCell,i2h_bias_initializer,nonprim_dtype,['list'],"Initializer for the bias vector. By default, bias for the forget gate is initialized to 1 while all other biases are initialized to zero."
mxnet.gluon.model_zoo.vision.vgg11_bn,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.ndarray.sample_exponential,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",DType of the output in case this can't be inferred. Defaults to float32 if not defined (dtype=None).
mxnet.ndarray.sample_exponential,shape,nonprim_dtype,['tuple'],Shape to be sampled from each random distribution.
mxnet.contrib.ndarray.RROIAlign,pooled_size,nonprim_dtype,['tuple'],"RROI align output shape (h,w)"
mxnet.ndarray.op.slice,begin,nonprim_dtype,['tuple'],"starting indices for the slice operation, supports negative indices."
mxnet.ndarray.op.slice,end,nonprim_dtype,['tuple'],"ending indices for the slice operation, supports negative indices."
mxnet.ndarray.op.slice,step,nonprim_dtype,['tuple'],"step for the slice operation, supports negative values."
mxnet.ndarray.contrib.RROIAlign,pooled_size,nonprim_dtype,['tuple'],"RROI align output shape (h,w)"
mxnet.ndarray.sample_poisson,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",DType of the output in case this can't be inferred. Defaults to float32 if not defined (dtype=None).
mxnet.ndarray.sample_poisson,shape,nonprim_dtype,['tuple'],Shape to be sampled from each random distribution.
mxnet.ndarray.transpose,axes,nonprim_dtype,['tuple'],Target axis order. By default the axes will be inverted.
mxnet.contrib.ndarray.quantize_v2,out_type,prim_dtype,"['numpy.int8', 'numpy.uint8']",Output data type. auto can be specified to automatically determine output type according to min_calib_range.
mxnet.contrib.ndarray.quantized_conv,dilate,nonprim_dtype,['tuple'],"Convolution dilate: (w,), (h, w) or (d, h, w). Defaults to 1 for each dimension."
mxnet.contrib.ndarray.quantized_conv,kernel,nonprim_dtype,['tuple'],"Convolution kernel size: (w,), (h, w) or (d, h, w)"
mxnet.contrib.ndarray.quantized_conv,num_filter,prim_dtype,['int'],Convolution filter(channel) number
mxnet.contrib.ndarray.quantized_conv,pad,nonprim_dtype,['tuple'],"Zero pad for convolution: (w,), (h, w) or (d, h, w). Defaults to no padding."
mxnet.contrib.ndarray.quantized_conv,stride,nonprim_dtype,['tuple'],"Convolution stride: (w,), (h, w) or (d, h, w). Defaults to 1 for each dimension."
mxnet.ndarray.contrib.dgl_graph_compact,graph_sizes,nonprim_dtype,['tuple'],the number of vertices in each graph.
mxnet.ndarray.op.sample_negative_binomial,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",DType of the output in case this can't be inferred. Defaults to float32 if not defined (dtype=None).
mxnet.ndarray.op.sample_negative_binomial,shape,nonprim_dtype,['tuple'],Shape to be sampled from each random distribution.
mxnet.ndarray.op.topk,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64', 'numpy.int32', 'numpy.int64', 'numpy.uint8']","DType of the output indices when ret_typ is ""indices"" or ""both"". An error will be raised if the selected data type cannot precisely represent the indices."
mxnet.ndarray.random.randn,ctx,nonprim_dtype,['ndarray'],Device context of output. Default is current context. Overridden by loc.context when loc is an NDArray.
mxnet.ndarray.random.randn,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",Data type of output samples. Default is 'float32'
mxnet.ndarray.sample_negative_binomial,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",DType of the output in case this can't be inferred. Defaults to float32 if not defined (dtype=None).
mxnet.ndarray.sample_negative_binomial,shape,nonprim_dtype,['tuple'],Shape to be sampled from each random distribution.
mxnet.ndarray.contrib.quantize,out_type,prim_dtype,"['numpy.int8', 'numpy.uint8']",Output data type.
mxnet.metric.np,numpy_feval,prim_dtype,['float'],Custom evaluation function that receives labels and predictions for a minibatch as numpy arrays and returns the corresponding custom metric as a floating point number.
mxnet.metric.np,numpy_feval,nonprim_dtype,['ndarray'],Custom evaluation function that receives labels and predictions for a minibatch as numpy arrays and returns the corresponding custom metric as a floating point number.
mxnet.ndarray.reshape,shape,nonprim_dtype,['tuple'],The target shape
mxnet.ndarray.reshape,target_shape,nonprim_dtype,['tuple'],"(Deprecated! Use `shape` instead.) Target new shape. One and only one dim can be 0, in which case it will be inferred from the rest of dims"
mxnet.gluon.model_zoo.vision.resnet34_v2,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.ndarray.image.adjust_lighting,alpha,prim_dtype,['float'],"The lighting alphas for the R, G, B channels."
mxnet.ndarray.image.adjust_lighting,alpha,nonprim_dtype,['tuple'],"The lighting alphas for the R, G, B channels."
mxnet.ndarray.random.randint,ctx,nonprim_dtype,['ndarray'],Device context of output. Default is current context. Overridden by low.context when low is an NDArray.
mxnet.ndarray.random.randint,dtype,prim_dtype,"['numpy.int32', 'numpy.int64']",Data type of output samples. Default is 'int32'
mxnet.gluon.nn.GroupNorm,center,prim_dtype,['boolean'],"If True, add offset of beta to normalized tensor. If False, beta is ignored."
mxnet.gluon.nn.GroupNorm,scale,prim_dtype,['boolean'],"If True, multiply by gamma. If False, gamma is not used."
mxnet.gluon.model_zoo.vision.resnet34_v1,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.io.CSVIter,batch_size,prim_dtype,['int'],Batch size.
mxnet.io.CSVIter,data_shape,nonprim_dtype,['tuple'],The shape of one example.
mxnet.io.CSVIter,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64', 'numpy.int32', 'numpy.int64', 'numpy.int8', 'numpy.uint8']",Output data type. `None` means no change.
mxnet.io.CSVIter,label_shape,nonprim_dtype,['tuple'],The shape of one label.
mxnet.ndarray.random_uniform,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",DType of the output in case this can't be inferred. Defaults to float32 if not defined (dtype=None).
mxnet.ndarray.random_uniform,shape,nonprim_dtype,['tuple'],Shape of the output.
mxnet.ndarray.random.generalized_negative_binomial,ctx,nonprim_dtype,['ndarray'],Device context of output. Default is current context. Overridden by mu.context when mu is an NDArray.
mxnet.ndarray.random.generalized_negative_binomial,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",Data type of output samples. Default is 'float32'
mxnet.gluon.nn.Conv2D,bias_initializer,nonprim_dtype,['list'],Initializer for the bias vector.
mxnet.gluon.nn.Conv2D,use_bias,nonprim_dtype,['list'],Whether the layer uses a bias vector.
mxnet.ndarray.image.resize,size,nonprim_dtype,['tuple'],"Size of new image. Could be (width, height) or (size)"
mxnet.recordio.pack,header,nonprim_dtype,['ndarray'],Header of the image record. `header.label` can be a number or an array. See more detail in `IRHeader`.
mxnet.ndarray.op.Deconvolution,adj,nonprim_dtype,['tuple'],"Adjustment for output shape: (w,), (h, w) or (d, h, w). If target_shape is set, adj will be ignored and computed accordingly."
mxnet.ndarray.op.Deconvolution,dilate,nonprim_dtype,['tuple'],"Dilation factor for each dimension of the input: (w,), (h, w) or (d, h, w). Defaults to 1 for each dimension."
mxnet.ndarray.op.Deconvolution,kernel,nonprim_dtype,['tuple'],"Deconvolution kernel size: (w,), (h, w) or (d, h, w). This is same as the kernel size used for the corresponding convolution"
mxnet.ndarray.op.Deconvolution,pad,nonprim_dtype,['tuple'],"The amount of implicit zero padding added during convolution for each dimension of the input: (w,), (h, w) or (d, h, w). `(kernel-1)/2` is usually a good choice. If target_shape is set, pad will be ignored and a padding that will generate the target shape will be used. Defaults to no padding."
mxnet.ndarray.op.Deconvolution,stride,nonprim_dtype,['tuple'],"The stride used for the corresponding convolution: (w,), (h, w) or (d, h, w). Defaults to 1 for each dimension."
mxnet.ndarray.op.Deconvolution,target_shape,nonprim_dtype,"['tensor', 'tuple']","Shape of the output tensor: (w,), (h, w) or (d, h, w)."
mxnet.contrib.ndarray.MultiBoxTarget,variances,prim_dtype,['float'],Variances to be encoded in box regression target.
mxnet.contrib.ndarray.MultiBoxTarget,variances,nonprim_dtype,['tuple'],Variances to be encoded in box regression target.
mxnet.gluon.contrib.rnn.Conv2DRNNCell,h2h_bias_initializer,nonprim_dtype,['list'],Initializer for the recurrent convolution bias vectors.
mxnet.gluon.contrib.rnn.Conv2DRNNCell,i2h_bias_initializer,nonprim_dtype,['list'],Initializer for the input convolution bias vectors.
mxnet.ndarray.SequenceMask,axis,nonprim_dtype,['list'],The sequence axis. Only values of 0 and 1 are currently supported.
mxnet.ndarray.SequenceMask,use_sequence_length,nonprim_dtype,['list'],"If set to true, this layer takes in an extra input parameter sequence_length to specify variable length sequence"
mxnet.gluon.model_zoo.vision.resnet101_v1,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.ndarray.op.random_randint,dtype,prim_dtype,"['numpy.int32', 'numpy.int64']",DType of the output in case this can't be inferred. Defaults to int32 if not defined (dtype=None).
mxnet.ndarray.op.random_randint,shape,nonprim_dtype,['tuple'],Shape of the output.
mxnet.ndarray.op.log_softmax,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",DType of the output in case this can't be inferred. Defaults to the same as input's dtype if not defined (dtype=None).
mxnet.ndarray.op.sample_normal,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64']",DType of the output in case this can't be inferred. Defaults to float32 if not defined (dtype=None).
mxnet.ndarray.op.sample_normal,shape,nonprim_dtype,['tuple'],Shape to be sampled from each random distribution.
mxnet.contrib.ndarray.ctc_loss,use_data_lengths,nonprim_dtype,['list'],"Whether the data lenghts are decided by data_lengths. If false, the lengths are equal to the max sequence length."
mxnet.ndarray.LRN,nsize,prim_dtype,['int'],normalization window width in elements.
mxnet.ndarray.sparse.norm,out_dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64', 'numpy.int32', 'numpy.int64', 'numpy.int8']",The data type of the output.
mxnet.test_utils.check_symbolic_backward,dtype,nonprim_dtype,['ndarray'],Datatype for mx.nd.array.
mxnet.gluon.model_zoo.vision.squeezenet1_1,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.gluon.nn.HybridLambda,function,nonprim_dtype,['ndarray'],"Function used in lambda must be one of the following: 1) The name of an operator that is available in both symbol and ndarray. For example: block = HybridLambda('tanh')   <ol class=""arabic"" start=""2""> A function that conforms to `def function(F, data, *args)`. For example: block = HybridLambda(lambda F, x: F.LeakyReLU(x, slope=0.1))   "
mxnet.ndarray.op.SequenceReverse,axis,nonprim_dtype,['list'],The sequence axis. Only 0 is currently supported.
mxnet.ndarray.op.SequenceReverse,use_sequence_length,nonprim_dtype,['list'],"If set to true, this layer takes in an extra input parameter sequence_length to specify variable length sequence"
mxnet.ndarray.image.normalize,mean,prim_dtype,['float'],Sequence of means for each channel. Default value is 0.
mxnet.ndarray.image.normalize,mean,nonprim_dtype,"['list', 'tuple']",Sequence of means for each channel. Default value is 0.
mxnet.ndarray.image.normalize,std,prim_dtype,['float'],Sequence of standard deviations for each channel. Default value is 1.
mxnet.ndarray.image.normalize,std,nonprim_dtype,"['list', 'tuple']",Sequence of standard deviations for each channel. Default value is 1.
mxnet.gluon.model_zoo.vision.vgg11,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.contrib.ndarray.dequantize,max_range,prim_dtype,['numpy.float32'],The maximum scalar value possibly produced for the input in float32
mxnet.contrib.ndarray.dequantize,min_range,prim_dtype,['numpy.float32'],The minimum scalar value possibly produced for the input in float32
mxnet.contrib.ndarray.dequantize,out_type,prim_dtype,['numpy.float32'],Output data type.
mxnet.contrib.ndarray.DeformableConvolution,dilate,nonprim_dtype,['tuple'],"Convolution dilate: (h, w) or (d, h, w). Defaults to 1 for each dimension."
mxnet.contrib.ndarray.DeformableConvolution,kernel,nonprim_dtype,['tuple'],"Convolution kernel size: (h, w) or (d, h, w)"
mxnet.contrib.ndarray.DeformableConvolution,pad,nonprim_dtype,['tuple'],"Zero pad for convolution: (h, w) or (d, h, w). Defaults to no padding."
mxnet.contrib.ndarray.DeformableConvolution,stride,nonprim_dtype,['tuple'],"Convolution stride: (h, w) or (d, h, w). Defaults to 1 for each dimension."
mxnet.test_utils.np_reduce,axis,prim_dtype,['int'],Same as NumPy.
mxnet.test_utils.np_reduce,axis,nonprim_dtype,['list'],Same as NumPy.
mxnet.test_utils.np_reduce,dat,nonprim_dtype,['ndarray'],Same as NumPy.
mxnet.gluon.model_zoo.vision.get_model,root,prim_dtype,['string'],Location for keeping the model parameters.
mxnet.io.ImageRecordIter,aug_seq,nonprim_dtype,['list'],"The augmenter names to represent sequence of augmenters to be applied, seperated by comma. Additional keyword parameters will be seen by these augmenters."
mxnet.io.ImageRecordIter,batch_size,prim_dtype,['int'],Batch size.
mxnet.io.ImageRecordIter,data_shape,nonprim_dtype,['tuple'],"The shape of one output image in (channels, height, width) format."
mxnet.io.ImageRecordIter,device_id,nonprim_dtype,['ndarray'],The device id used to create context for internal NDArray. Setting device_id to -1 will create Context::CPU(0). Setting device_id to valid positive device id will create Context::CPUPinned(device_id). Default is 0.
mxnet.io.ImageRecordIter,dtype,prim_dtype,"['numpy.float16', 'numpy.float32', 'numpy.float64', 'numpy.int32', 'numpy.int64', 'numpy.int8', 'numpy.uint8']",Output data type. `None` means no change.
