API,Type,Count,Input,Unnamed: 4,Unnamed: 5
torch.abs,timeout,64,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.abs.yaml_workdir/timeout_script_record,,
torch.acos,timeout,26,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.acos.yaml_workdir/timeout_script_record,,
torch.add,timeout,29,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.add.yaml_workdir/timeout_script_record,,
torch.allclose,timeout,3,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.allclose.yaml_workdir/timeout_script_record,,
torch.angle,timeout,66,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.angle.yaml_workdir/timeout_script_record,,
torch.argmax,timeout,138,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.argmax.yaml_workdir/timeout_script_record,,
torch.argmin,timeout,128,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.argmin.yaml_workdir/timeout_script_record,,
torch.argsort,timeout,16,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.argsort.yaml_workdir/timeout_script_record,,
torch.asin,timeout,23,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.asin.yaml_workdir/timeout_script_record,,
torch.atan2,timeout,6,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.atan2.yaml_workdir/timeout_script_record,,
torch.atan,timeout,43,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.atan.yaml_workdir/timeout_script_record,,
torch.bincount,timeout,14,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.bincount.yaml_workdir/timeout_script_record,,
torch.bitwise_and,timeout,14,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.bitwise_and.yaml_workdir/timeout_script_record,,
torch.bitwise_not,timeout,43,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.bitwise_not.yaml_workdir/timeout_script_record,,
torch.bitwise_or,timeout,15,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.bitwise_or.yaml_workdir/timeout_script_record,,
torch.bitwise_xor,timeout,19,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.bitwise_xor.yaml_workdir/timeout_script_record,,
torch.cdist,timeout,17,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cdist.yaml_workdir/timeout_script_record,,
torch.ceil,timeout,70,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.ceil.yaml_workdir/timeout_script_record,,
torch.cholesky_solve,timeout,45,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cholesky_solve.yaml_workdir/timeout_script_record,,
torch.cholesky,timeout,2,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cholesky.yaml_workdir/timeout_script_record,,
torch.combinations,timeout,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.combinations.yaml_workdir/timeout_script_record,,
torch.conj,timeout,65,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.conj.yaml_workdir/timeout_script_record,,
torch.cosh,timeout,21,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cosh.yaml_workdir/timeout_script_record,,
torch.cos,timeout,40,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cos.yaml_workdir/timeout_script_record,,
torch.cuda.comm.broadcast_coalesced,timeout,57,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cuda.comm.broadcast_coalesced.yaml_workdir/timeout_script_record,,
torch.cuda.comm.broadcast,timeout,49,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cuda.comm.broadcast.yaml_workdir/timeout_script_record,,
torch.cuda.comm.gather,timeout,49,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cuda.comm.gather.yaml_workdir/timeout_script_record,,
torch.cuda.comm.scatter,timeout,78,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cuda.comm.scatter.yaml_workdir/timeout_script_record,,
torch.cuda.nvtx.mark,timeout,24,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cuda.nvtx.mark.yaml_workdir/timeout_script_record,,
torch.cuda.nvtx.range_push,timeout,23,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cuda.nvtx.range_push.yaml_workdir/timeout_script_record,,
torch.cuda.set_rng_state,timeout,190,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cuda.set_rng_state.yaml_workdir/timeout_script_record,,
torch.cumprod,timeout,4,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cumprod.yaml_workdir/timeout_script_record,,
torch.cumsum,timeout,6,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cumsum.yaml_workdir/timeout_script_record,,
torch.det,timeout,6,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.det.yaml_workdir/timeout_script_record,,
torch.diag_embed,timeout,26,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.diag_embed.yaml_workdir/timeout_script_record,,
torch.diagflat,Kill,15,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.diagflat.yaml_workdir/Kill_script_record,,
torch.diagflat,timeout,236,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.diagflat.yaml_workdir/timeout_script_record,,
torch.diag,timeout,3,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.diag.yaml_workdir/timeout_script_record,,
torch.digamma,timeout,20,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.digamma.yaml_workdir/timeout_script_record,,
torch.distributed.all_reduce,timeout,11,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.distributed.all_reduce.yaml_workdir/timeout_script_record,,
torch.distributed.broadcast_multigpu,timeout,28,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.distributed.broadcast_multigpu.yaml_workdir/timeout_script_record,,
torch.distributed.broadcast,timeout,15,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.distributed.broadcast.yaml_workdir/timeout_script_record,,
torch.distributed.init_process_group,timeout,11,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.distributed.init_process_group.yaml_workdir/timeout_script_record,,
torch.distributed.reduce_multigpu,timeout,22,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.distributed.reduce_multigpu.yaml_workdir/timeout_script_record,,
torch.distributed.reduce,timeout,5,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.distributed.reduce.yaml_workdir/timeout_script_record,,
torch.dist,timeout,6,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.dist.yaml_workdir/timeout_script_record,,
torch.div2,timeout,36,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.div2.yaml_workdir/timeout_script_record,,
torch.div,timeout,46,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.div.yaml_workdir/timeout_script_record,,
torch.eq,timeout,20,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.eq.yaml_workdir/timeout_script_record,,
torch.erfc,timeout,19,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.erfc.yaml_workdir/timeout_script_record,,
torch.erfinv,timeout,43,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.erfinv.yaml_workdir/timeout_script_record,,
torch.erf,timeout,28,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.erf.yaml_workdir/timeout_script_record,,
torch.expm1,timeout,22,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.expm1.yaml_workdir/timeout_script_record,,
torch.exp,timeout,29,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.exp.yaml_workdir/timeout_script_record,,
torch.floor_divide,timeout,47,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.floor_divide.yaml_workdir/timeout_script_record,,
torch.floor,timeout,58,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.floor.yaml_workdir/timeout_script_record,,
torch.fmod,timeout,14,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.fmod.yaml_workdir/timeout_script_record,,
torch.ge,timeout,26,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.ge.yaml_workdir/timeout_script_record,,
torch.gt,timeout,20,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.gt.yaml_workdir/timeout_script_record,,
torch.inverse,timeout,7,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.inverse.yaml_workdir/timeout_script_record,,
torch.le,timeout,23,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.le.yaml_workdir/timeout_script_record,,
torch.lgamma,timeout,62,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.lgamma.yaml_workdir/timeout_script_record,,
torch.log10,timeout,37,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.log10.yaml_workdir/timeout_script_record,,
torch.log1p,timeout,36,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.log1p.yaml_workdir/timeout_script_record,,
torch.log2,timeout,23,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.log2.yaml_workdir/timeout_script_record,,
torch.logdet,timeout,4,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.logdet.yaml_workdir/timeout_script_record,,
torch.logical_and,timeout,7,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.logical_and.yaml_workdir/timeout_script_record,,
torch.logical_not,timeout,151,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.logical_not.yaml_workdir/timeout_script_record,,
torch.logical_or,timeout,10,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.logical_or.yaml_workdir/timeout_script_record,,
torch.logical_xor,timeout,6,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.logical_xor.yaml_workdir/timeout_script_record,,
torch.log,timeout,31,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.log.yaml_workdir/timeout_script_record,,
torch.lt,timeout,19,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.lt.yaml_workdir/timeout_script_record,,
torch.lu_unpack,timeout,553,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.lu_unpack.yaml_workdir/timeout_script_record,,
torch.masked_select,timeout,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.masked_select.yaml_workdir/timeout_script_record,,
torch.matmul,timeout,63,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.matmul.yaml_workdir/timeout_script_record,,
torch.matrix_power,timeout,4,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.matrix_power.yaml_workdir/timeout_script_record,,
torch.max22,timeout,4,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.max22.yaml_workdir/timeout_script_record,,
torch.max,timeout,131,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.max.yaml_workdir/timeout_script_record,,
torch.mean,timeout,40,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.mean.yaml_workdir/timeout_script_record,,
torch.median2,timeout,17,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.median2.yaml_workdir/timeout_script_record,,
torch.median,timeout,164,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.median.yaml_workdir/timeout_script_record,,
torch.min22,timeout,2,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.min22.yaml_workdir/timeout_script_record,,
torch.min,timeout,138,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.min.yaml_workdir/timeout_script_record,,
torch.mul,timeout,43,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.mul.yaml_workdir/timeout_script_record,,
torch.mvlgamma,timeout,6,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.mvlgamma.yaml_workdir/timeout_script_record,,
torch.neg,timeout,75,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.neg.yaml_workdir/timeout_script_record,,
torch.ne,timeout,19,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.ne.yaml_workdir/timeout_script_record,,
torch.cholesky_solve,Segmentation_Fault,2,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.cholesky_solve.yaml_workdir/Segmentation_Fault_script_record,pt16,
torch.nn.adaptivelogsoftmaxwithloss,timeout,21,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.adaptivelogsoftmaxwithloss.yaml_workdir/timeout_script_record,,
torch.histc,Segmentation_Fault,3,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.histc.yaml_workdir/Segmentation_Fault_script_record,pt21,
torch.nn.adaptivemaxpool1d,timeout,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.adaptivemaxpool1d.yaml_workdir/timeout_script_record,,
torch.nn.adaptivemaxpool1d,Segmentation_Fault,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.adaptivemaxpool1d.yaml_workdir/Segmentation_Fault_script_record,pt24,
torch.nn.adaptivemaxpool2d,timeout,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.adaptivemaxpool2d.yaml_workdir/timeout_script_record,,
torch.nn.adaptivemaxpool3d,timeout,2,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.adaptivemaxpool3d.yaml_workdir/timeout_script_record,,
torch.nn.alphadropout,timeout,304,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.alphadropout.yaml_workdir/timeout_script_record,,
torch.nn.batchnorm1d,timeout,2,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.batchnorm1d.yaml_workdir/timeout_script_record,,
torch.nn.batchnorm2d,timeout,4,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.batchnorm2d.yaml_workdir/timeout_script_record,,
torch.nn.batchnorm3d,timeout,4,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.batchnorm3d.yaml_workdir/timeout_script_record,,
torch.nn.celu,timeout,9,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.celu.yaml_workdir/timeout_script_record,,
torch.nn.constantpad1d,timeout,3,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.constantpad1d.yaml_workdir/timeout_script_record,,
torch.nn.constantpad2d,timeout,2,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.constantpad2d.yaml_workdir/timeout_script_record,,
torch.nn.constantpad3d,timeout,3,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.constantpad3d.yaml_workdir/timeout_script_record,,
torch.nn.conv1d,timeout,84,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.conv1d.yaml_workdir/timeout_script_record,,
torch.nn.conv2d,timeout,92,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.conv2d.yaml_workdir/timeout_script_record,,
torch.nn.conv3d,timeout,102,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.conv3d.yaml_workdir/timeout_script_record,,
torch.nn.convtranspose1d,timeout,46,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.convtranspose1d.yaml_workdir/timeout_script_record,,
torch.nn.convtranspose2d,timeout,40,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.convtranspose2d.yaml_workdir/timeout_script_record,,
torch.nn.convtranspose3d,timeout,36,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.convtranspose3d.yaml_workdir/timeout_script_record,,
torch.nn.dropout2d,timeout,86,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.dropout2d.yaml_workdir/timeout_script_record,,
torch.nn.dropout3d,timeout,90,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.dropout3d.yaml_workdir/timeout_script_record,,
torch.nn.dropout,timeout,217,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.dropout.yaml_workdir/timeout_script_record,,
torch.nn.elu,timeout,15,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.elu.yaml_workdir/timeout_script_record,,
torch.nn.embeddingbag,timeout,17,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.embeddingbag.yaml_workdir/timeout_script_record,,
torch.nn.embedding,timeout,81,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.embedding.yaml_workdir/timeout_script_record,,
torch.nn.fractionalmaxpool2d,timeout,3,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.fractionalmaxpool2d.yaml_workdir/timeout_script_record,,
torch.nn.adaptivemaxpool2d,Segmentation_Fault,2,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.adaptivemaxpool2d.yaml_workdir/Segmentation_Fault_script_record,pt24,
torch.nn.replicationpad3d,Segmentation_Fault,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.replicationpad3d.yaml_workdir/Segmentation_Fault_script_record,pt29,
torch.nn.functional.affine_grid,timeout,4,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.affine_grid.yaml_workdir/timeout_script_record,,
torch.nn.functional.binary_cross_entropy_with_logits,timeout,21,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.binary_cross_entropy_with_logits.yaml_workdir/timeout_script_record,,
torch.nn.functional.binary_cross_entropy,timeout,18,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.binary_cross_entropy.yaml_workdir/timeout_script_record,,
torch.nn.functional.cosine_similarity,Nan,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.cosine_similarity.yaml_workdir/Nan_script_record,,
torch.nn.functional.cosine_similarity,timeout,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.cosine_similarity.yaml_workdir/timeout_script_record,,
torch.nn.functional.cross_entropy,timeout,223,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.cross_entropy.yaml_workdir/timeout_script_record,,
torch.nn.functional.ctc_loss,timeout,11,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.ctc_loss.yaml_workdir/timeout_script_record,,
