API,Type,Count,Input,Unnamed: 4,Unnamed: 5
torch.nn.functional.dropout2d,timeout,96,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.dropout2d.yaml_workdir/timeout_script_record,,
torch.nn.functional.dropout3d,timeout,96,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.dropout3d.yaml_workdir/timeout_script_record,,
torch.nn.functional.dropout,timeout,136,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.dropout.yaml_workdir/timeout_script_record,,
torch.nn.functional.embedding,timeout,86,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.embedding.yaml_workdir/timeout_script_record,,
torch.nn.functional.glu,timeout,6,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.glu.yaml_workdir/timeout_script_record,,
torch.nn.functional.grid_sample,timeout,22,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.grid_sample.yaml_workdir/timeout_script_record,,
torch.nn.functional.gumbel_softmax,timeout,130,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.gumbel_softmax.yaml_workdir/timeout_script_record,,
torch.nn.functional.interpolate,timeout,12,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.interpolate.yaml_workdir/timeout_script_record,,
torch.nn.functional.kl_div,Nan,2,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.kl_div.yaml_workdir/Nan_script_record,,
torch.nn.functional.kl_div,timeout,35,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.kl_div.yaml_workdir/timeout_script_record,,
torch.nn.functional.log_softmax,timeout,11,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.log_softmax.yaml_workdir/timeout_script_record,,
torch.nn.functional.nll_loss,timeout,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.nll_loss.yaml_workdir/timeout_script_record,,
torch.nn.functional.normalize,timeout,17,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.normalize.yaml_workdir/timeout_script_record,,
torch.nn.functional.pad,timeout,8,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.pad.yaml_workdir/timeout_script_record,,
torch.nn.functional.pdist,timeout,4,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.pdist.yaml_workdir/timeout_script_record,,
torch.nn.functional.poisson_nll_loss,Nan,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.poisson_nll_loss.yaml_workdir/Nan_script_record,,
torch.nn.functional.softmax,timeout,15,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.softmax.yaml_workdir/timeout_script_record,,
torch.nn.functional.softmin,timeout,107,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.functional.softmin.yaml_workdir/timeout_script_record,,
torch.nn.groupnorm,timeout,24,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.groupnorm.yaml_workdir/timeout_script_record,,
torch.nn.grucell,timeout,150,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.grucell.yaml_workdir/timeout_script_record,,
torch.nn.hardshrink,timeout,25,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.hardshrink.yaml_workdir/timeout_script_record,,
torch.nn.hardtanh,timeout,67,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.hardtanh.yaml_workdir/timeout_script_record,,
torch.nn.init.constant_,timeout,19,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.init.constant_.yaml_workdir/timeout_script_record,,
torch.nn.init.dirac_,timeout,66,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.init.dirac_.yaml_workdir/timeout_script_record,,
torch.nn.init.orthogonal_,timeout,297,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.init.orthogonal_.yaml_workdir/timeout_script_record,,
torch.nn.init.sparse_,timeout,19,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.init.sparse_.yaml_workdir/timeout_script_record,,
torch.nn.init.xavier_normal_,timeout,40,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.init.xavier_normal_.yaml_workdir/timeout_script_record,,
torch.nn.init.xavier_uniform_,timeout,46,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.init.xavier_uniform_.yaml_workdir/timeout_script_record,,
torch.nn.instancenorm1d,timeout,10,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.instancenorm1d.yaml_workdir/timeout_script_record,,
torch.nn.instancenorm2d,timeout,6,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.instancenorm2d.yaml_workdir/timeout_script_record,,
torch.nn.instancenorm3d,timeout,5,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.instancenorm3d.yaml_workdir/timeout_script_record,,
torch.nn.layernorm,timeout,7,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.layernorm.yaml_workdir/timeout_script_record,,
torch.nn.leakyrelu,timeout,10,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.leakyrelu.yaml_workdir/timeout_script_record,,
torch.nn.localresponsenorm,Kill,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.localresponsenorm.yaml_workdir/Kill_script_record,,
torch.nn.localresponsenorm,timeout,178,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.localresponsenorm.yaml_workdir/timeout_script_record,,
torch.nn.logsoftmax,timeout,86,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.logsoftmax.yaml_workdir/timeout_script_record,,
torch.nn.lppool1d,timeout,19,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.lppool1d.yaml_workdir/timeout_script_record,,
torch.nn.lppool2d,timeout,8,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.lppool2d.yaml_workdir/timeout_script_record,,
torch.nn.lstmcell,timeout,151,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.lstmcell.yaml_workdir/timeout_script_record,,
torch.nn.multimarginloss,timeout,59,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.multimarginloss.yaml_workdir/timeout_script_record,,
torch.nn.parallel.data_parallel,timeout,3,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.parallel.data_parallel.yaml_workdir/timeout_script_record,,
torch.nn.prelu,timeout,16,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.prelu.yaml_workdir/timeout_script_record,,
torch.nn.reflectionpad1d,timeout,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.reflectionpad1d.yaml_workdir/timeout_script_record,,
torch.nn.relu6,timeout,66,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.relu6.yaml_workdir/timeout_script_record,,
torch.nn.relu,timeout,73,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.relu.yaml_workdir/timeout_script_record,,
torch.nn.replicationpad2d,timeout,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.replicationpad2d.yaml_workdir/timeout_script_record,,
torch.orgqr,Abort,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.orgqr.yaml_workdir/Abort_script_record,pt6,
torch.nn.replicationpad3d,timeout,2,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.replicationpad3d.yaml_workdir/timeout_script_record,,
torch.nn.rnncell,timeout,151,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.rnncell.yaml_workdir/timeout_script_record,,
torch.nn.rnn,timeout,12,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.rnn.yaml_workdir/timeout_script_record,,
torch.nn.rrelu,timeout,3,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.rrelu.yaml_workdir/timeout_script_record,,
torch.nn.selu,timeout,28,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.selu.yaml_workdir/timeout_script_record,,
torch.nn.softmax,timeout,76,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.softmax.yaml_workdir/timeout_script_record,,
torch.nn.softmin,timeout,205,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.softmin.yaml_workdir/timeout_script_record,,
torch.nn.softplus,timeout,9,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.softplus.yaml_workdir/timeout_script_record,,
torch.nn.softshrink,timeout,15,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.softshrink.yaml_workdir/timeout_script_record,,
torch.nn.syncbatchnorm,timeout,3,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.syncbatchnorm.yaml_workdir/timeout_script_record,,
torch.nn.threshold,timeout,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.threshold.yaml_workdir/timeout_script_record,,
torch.nn.transformerdecoderlayer,timeout,183,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.transformerdecoderlayer.yaml_workdir/timeout_script_record,,
torch.nn.transformerdecoder,Kill,7,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.transformerdecoder.yaml_workdir/Kill_script_record,,
torch.nn.transformerdecoder,timeout,25,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.transformerdecoder.yaml_workdir/timeout_script_record,,
torch.nn.transformerencoderlayer,timeout,179,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.transformerencoderlayer.yaml_workdir/timeout_script_record,,
torch.nn.transformerencoder,Kill,7,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.transformerencoder.yaml_workdir/Kill_script_record,,
torch.nn.transformerencoder,timeout,28,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.transformerencoder.yaml_workdir/timeout_script_record,,
torch.nn.transformer,timeout,107,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.transformer.yaml_workdir/timeout_script_record,,
torch.nn.upsample,timeout,4,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.upsample.yaml_workdir/timeout_script_record,,
torch.nn.upsamplingbilinear2d,Kill,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.upsamplingbilinear2d.yaml_workdir/Kill_script_record,,
torch.fmod,Floating_Point_Exception,6,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.fmod.yaml_workdir/Floating_Point_Exception_script_record,pt9,
torch.nn.upsamplingbilinear2d,timeout,2,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.upsamplingbilinear2d.yaml_workdir/timeout_script_record,,
torch.nn.upsamplingnearest2d,timeout,3,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.upsamplingnearest2d.yaml_workdir/timeout_script_record,,
torch.nn.utils.parameters_to_vector,timeout,30,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.utils.parameters_to_vector.yaml_workdir/timeout_script_record,,
torch.nn.utils.rnn.pack_padded_sequence,timeout,150,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.utils.rnn.pack_padded_sequence.yaml_workdir/timeout_script_record,,
torch.nn.utils.rnn.pack_sequence,timeout,165,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.utils.rnn.pack_sequence.yaml_workdir/timeout_script_record,,
torch.nn.utils.rnn.pad_sequence,timeout,43,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.utils.rnn.pad_sequence.yaml_workdir/timeout_script_record,,
torch.nn.zeropad2d,timeout,19,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.zeropad2d.yaml_workdir/timeout_script_record,,
torch.normal22,timeout,10,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.normal22.yaml_workdir/timeout_script_record,,
torch.normal2,timeout,4,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.normal2.yaml_workdir/timeout_script_record,,
torch.normal,timeout,3,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.normal.yaml_workdir/timeout_script_record,,
torch.norm,timeout,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.norm.yaml_workdir/timeout_script_record,,
torch.onnx.export,timeout,8,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.onnx.export.yaml_workdir/timeout_script_record,,
torch.nn.upsamplingbilinear2d,Segmentation_Fault,1,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.nn.upsamplingbilinear2d.yaml_workdir/Segmentation_Fault_script_record,,
torch.pca_lowrank,timeout,111,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.pca_lowrank.yaml_workdir/timeout_script_record,,
torch.pinverse,timeout,104,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.pinverse.yaml_workdir/timeout_script_record,,
torch.pow2,timeout,13,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.pow2.yaml_workdir/timeout_script_record,,
torch.pow,timeout,14,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.pow.yaml_workdir/timeout_script_record,,
torch.prod,timeout,57,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.prod.yaml_workdir/timeout_script_record,,
torch.qr,timeout,58,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.qr.yaml_workdir/timeout_script_record,,
torch.reciprocal,timeout,25,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.reciprocal.yaml_workdir/timeout_script_record,,
torch.remainder,timeout,26,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.remainder.yaml_workdir/timeout_script_record,,
torch.repeat_interleave,timeout,25,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.repeat_interleave.yaml_workdir/timeout_script_record,,
torch.roll,timeout,2,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.roll.yaml_workdir/timeout_script_record,,
torch.round,timeout,56,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.round.yaml_workdir/timeout_script_record,,
torch.rsqrt,timeout,20,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.rsqrt.yaml_workdir/timeout_script_record,,
torch.sigmoid,timeout,13,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.sigmoid.yaml_workdir/timeout_script_record,,
torch.sign,timeout,77,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.sign.yaml_workdir/timeout_script_record,,
torch.sinh,timeout,16,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.sinh.yaml_workdir/timeout_script_record,,
torch.sin,timeout,31,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.sin.yaml_workdir/timeout_script_record,,
torch.slogdet,timeout,2,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.slogdet.yaml_workdir/timeout_script_record,,
torch.sort,timeout,12,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.sort.yaml_workdir/timeout_script_record,,
torch.sparse_coo_tensor,timeout,4,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.sparse_coo_tensor.yaml_workdir/timeout_script_record,,
torch.sqrt,timeout,25,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.sqrt.yaml_workdir/timeout_script_record,,
torch.square,timeout,57,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.square.yaml_workdir/timeout_script_record,,
torch.std_mean,timeout,33,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.std_mean.yaml_workdir/timeout_script_record,,
torch.std,timeout,7,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.std.yaml_workdir/timeout_script_record,,
torch.stft,timeout,62,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.stft.yaml_workdir/timeout_script_record,,
torch.sum,timeout,52,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.sum.yaml_workdir/timeout_script_record,,
torch.svd,timeout,10,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.svd.yaml_workdir/timeout_script_record,,
torch.tanh,timeout,41,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.tanh.yaml_workdir/timeout_script_record,,
torch.tan,timeout,39,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.tan.yaml_workdir/timeout_script_record,,
torch.tensordot,Kill,9,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.tensordot.yaml_workdir/Kill_script_record,,
torch.tensordot,timeout,7,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.tensordot.yaml_workdir/timeout_script_record,,
torch.tensor,timeout,6,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.tensor.yaml_workdir/timeout_script_record,,
torch.trapz2,timeout,22,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.trapz2.yaml_workdir/timeout_script_record,,
torch.trapz,timeout,41,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.trapz.yaml_workdir/timeout_script_record,,
torch.tril,timeout,228,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.tril.yaml_workdir/timeout_script_record,,
torch.triu,timeout,227,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.triu.yaml_workdir/timeout_script_record,,
torch.trunc,timeout,7,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.trunc.yaml_workdir/timeout_script_record,,
torch.utils.checkpoint.checkpoint_sequential,timeout,116,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.utils.checkpoint.checkpoint_sequential.yaml_workdir/timeout_script_record,,
torch.utils.cpp_extension.load,timeout,2,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.utils.cpp_extension.load.yaml_workdir/timeout_script_record,,
torch.utils.data.random_split,timeout,24,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.utils.data.random_split.yaml_workdir/timeout_script_record,,
torch.var_mean,timeout,27,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.var_mean.yaml_workdir/timeout_script_record,,
torch.var,timeout,2,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.var.yaml_workdir/timeout_script_record,,
torch.zeros_like,timeout,3,/local1/xdanning/docter/expr/pytorch/PT26_c890544_baseline/workdir/expect_ok_no_constr/torch.zeros_like.yaml_workdir/timeout_script_record,,
