API,Type,Count,Input,BugID
tf.random.gamma,Abort,6,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.gamma.yaml_workdir/Abort_script_record,closed
tf.broadcast_to,Kill,5,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.broadcast_to.yaml_workdir/Kill_script_record,
tf.clip_by_global_norm,Division_By_Zero,9,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.clip_by_global_norm.yaml_workdir/Division_By_Zero_script_record,
tf.ragged.segment_ids_to_row_splits,Segmentation_Fault,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.ragged.segment_ids_to_row_splits.yaml_workdir/Segmentation_Fault_script_record,tf
tf.eye,Kill,128,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.eye.yaml_workdir/Kill_script_record,
tf.feature_column.numeric_column,timeout,20,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.feature_column.numeric_column.yaml_workdir/timeout_script_record,
tf.fill,Kill,6,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.fill.yaml_workdir/Kill_script_record,
tf.gather_nd,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.gather_nd.yaml_workdir/Kill_script_record,
tf.image.adjust_hue,timeout,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.image.adjust_hue.yaml_workdir/timeout_script_record,
tf.unravel_index,Floating_Point_Exception,99,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.unravel_index.yaml_workdir/Floating_Point_Exception_script_record,tf1
tf.image.non_max_suppression_overlaps,timeout,138,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.image.non_max_suppression_overlaps.yaml_workdir/timeout_script_record,
tf.nn.ctc_beam_search_decoder,Abort,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.nn.ctc_beam_search_decoder.yaml_workdir/Abort_script_record,tf11
tf.image.non_max_suppression_padded,Kill,11,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.image.non_max_suppression_padded.yaml_workdir/Kill_script_record,
tf.image.non_max_suppression_padded,timeout,30,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.image.non_max_suppression_padded.yaml_workdir/timeout_script_record,
tf.image.non_max_suppression_with_scores,timeout,23,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.image.non_max_suppression_with_scores.yaml_workdir/timeout_script_record,
tf.image.non_max_suppression,timeout,30,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.image.non_max_suppression.yaml_workdir/timeout_script_record,
tf.image.resize_with_crop_or_pad,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.image.resize_with_crop_or_pad.yaml_workdir/Kill_script_record,
tf.io.matching_files,timeout,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.io.matching_files.yaml_workdir/timeout_script_record,
tf.keras.backend.arange,Kill,3,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.backend.arange.yaml_workdir/Kill_script_record,
tf.summary.flush,Segmentation_Fault,518,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.summary.flush.yaml_workdir/Segmentation_Fault_script_record,tf12
tf.nn.fractional_max_pool,Floating_Point_Exception,161,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.nn.fractional_max_pool.yaml_workdir/Floating_Point_Exception_script_record,tf13
tf.keras.backend.categorical_crossentropy,Kill,5,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.backend.categorical_crossentropy.yaml_workdir/Kill_script_record,
tf.keras.backend.dropout,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.backend.dropout.yaml_workdir/Kill_script_record,
tf.keras.backend.eye,Kill,58,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.backend.eye.yaml_workdir/Kill_script_record,
tf.random.learned_unigram_candidate_sampler,Segmentation_Fault,20,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.random.learned_unigram_candidate_sampler.yaml_workdir/Segmentation_Fault_script_record,tf14
tf.nn.fractional_max_pool,Abort,56,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.nn.fractional_max_pool.yaml_workdir/Abort_script_record,tf15
tf.keras.backend.one_hot,Kill,12,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.backend.one_hot.yaml_workdir/Kill_script_record,
tf.keras.backend.ones,Kill,11,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.backend.ones.yaml_workdir/Kill_script_record,
tf.keras.backend.random_binomial,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.backend.random_binomial.yaml_workdir/Kill_script_record,
tf.keras.backend.random_normal,Kill,5,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.backend.random_normal.yaml_workdir/Kill_script_record,
tf.eye,Abort,8,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.eye.yaml_workdir/Abort_script_record,tf17
tf.keras.backend.tile,Kill,33,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.backend.tile.yaml_workdir/Kill_script_record,
tf.keras.backend.truncated_normal,Kill,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.backend.truncated_normal.yaml_workdir/Kill_script_record,
tf.keras.backend.zeros,Kill,5,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.backend.zeros.yaml_workdir/Kill_script_record,
tf.keras.datasets.imdb.load_data,Kill,41,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.datasets.imdb.load_data.yaml_workdir/Kill_script_record,
tf.keras.datasets.imdb.load_data,timeout,60,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.datasets.imdb.load_data.yaml_workdir/timeout_script_record,
tf.keras.datasets.reuters.load_data,Kill,41,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.datasets.reuters.load_data.yaml_workdir/Kill_script_record,
tf.keras.datasets.reuters.load_data,timeout,11,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.datasets.reuters.load_data.yaml_workdir/timeout_script_record,
tf.keras.layers.AveragePooling1D,Nan,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.AveragePooling1D.yaml_workdir/Nan_script_record,
tf.keras.layers.AveragePooling2D,Nan,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.AveragePooling2D.yaml_workdir/Nan_script_record,
tf.keras.layers.AveragePooling3D,Nan,3,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.AveragePooling3D.yaml_workdir/Nan_script_record,
tf.keras.layers.dot2,Division_By_Zero,3,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.dot2.yaml_workdir/Division_By_Zero_script_record,
tf.keras.layers.elu,Nan,3,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.elu.yaml_workdir/Nan_script_record,
tf.keras.layers.GlobalAveragePooling1D,Nan,23,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.GlobalAveragePooling1D.yaml_workdir/Nan_script_record,
tf.keras.layers.GlobalAveragePooling2D,Nan,47,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.GlobalAveragePooling2D.yaml_workdir/Nan_script_record,
tf.keras.layers.GlobalAveragePooling3D,Nan,25,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.GlobalAveragePooling3D.yaml_workdir/Nan_script_record,
tf.linalg.tensor_diag,Abort,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.tensor_diag.yaml_workdir/Abort_script_record,tf17
tf.one_hot,Abort,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.one_hot.yaml_workdir/Abort_script_record,tf17
tf.ones,Abort,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.ones.yaml_workdir/Abort_script_record,tf17
tf.keras.layers.leakyrelu,Nan,44,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.leakyrelu.yaml_workdir/Nan_script_record,
tf.zeros,Abort,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.zeros.yaml_workdir/Abort_script_record,tf17
tf.keras.layers.relu,Nan,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.relu.yaml_workdir/Nan_script_record,
tf.linalg.cholesky,Segmentation_Fault,52,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.cholesky.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.eigh,Abort,5,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.eigh.yaml_workdir/Abort_script_record,tf18
tf.keras.layers.softmax,Nan,22,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.softmax.yaml_workdir/Nan_script_record,
tf.keras.layers.thresholdedrelu,Nan,52,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.thresholdedrelu.yaml_workdir/Nan_script_record,
tf.keras.layers.upsampling1d,timeout,9,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.upsampling1d.yaml_workdir/timeout_script_record,
tf.keras.layers.upsampling3d,Kill,24,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.upsampling3d.yaml_workdir/Kill_script_record,
tf.keras.layers.upsampling3d,timeout,151,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.upsampling3d.yaml_workdir/timeout_script_record,
tf.keras.layers.zeropadding1d,Kill,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.layers.zeropadding1d.yaml_workdir/Kill_script_record,
tf.keras.preprocessing.sequence.make_sampling_table,Kill,233,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.preprocessing.sequence.make_sampling_table.yaml_workdir/Kill_script_record,
tf.keras.preprocessing.sequence.make_sampling_table,timeout,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.preprocessing.sequence.make_sampling_table.yaml_workdir/timeout_script_record,
tf.keras.preprocessing.sequence.skipgrams,timeout,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.keras.preprocessing.sequence.skipgrams.yaml_workdir/timeout_script_record,
tf.linalg.eigh,Segmentation_Fault,40,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.eigh.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.eigvalsh,Abort,8,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.eigvalsh.yaml_workdir/Abort_script_record,tf18
tf.linalg.eigvalsh,Segmentation_Fault,41,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.eigvalsh.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.inv,Abort,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.inv.yaml_workdir/Abort_script_record,tf18
tf.linalg.inv,Segmentation_Fault,86,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.inv.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.expm,timeout,381,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.expm.yaml_workdir/timeout_script_record,
tf.linalg.logdet,Segmentation_Fault,49,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.logdet.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.logm,Abort,86,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.logm.yaml_workdir/Abort_script_record,tf18
tf.linalg.logm,Segmentation_Fault,139,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.logm.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.lstsq,Abort,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.lstsq.yaml_workdir/Abort_script_record,tf18
tf.linalg.lstsq,Segmentation_Fault,26,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.lstsq.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.solve,Segmentation_Fault,268,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.solve.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.sqrtm,Abort,46,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.sqrtm.yaml_workdir/Abort_script_record,tf18
tf.linalg.sqrtm,Segmentation_Fault,136,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.sqrtm.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.svd,Abort,16,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.svd.yaml_workdir/Abort_script_record,tf18
tf.linalg.triangular_solve,Abort,16,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.triangular_solve.yaml_workdir/Abort_script_record,tf18
tf.linalg.pinv,timeout,6,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.pinv.yaml_workdir/timeout_script_record,
tf.linalg.triangular_solve,Segmentation_Fault,258,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.triangular_solve.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.solve,Abort,15,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.solve.yaml_workdir/Abort_script_record,tf19
tf.math.unsorted_segment_max,Abort,4,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.math.unsorted_segment_max.yaml_workdir/Abort_script_record,tf20
tf.math.unsorted_segment_min,Abort,4,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.math.unsorted_segment_min.yaml_workdir/Abort_script_record,tf20
tf.math.unsorted_segment_prod,Abort,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.math.unsorted_segment_prod.yaml_workdir/Abort_script_record,tf20
tf.math.unsorted_segment_sum,Abort,4,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.math.unsorted_segment_sum.yaml_workdir/Abort_script_record,tf20
tf.linalg.svd,timeout,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.svd.yaml_workdir/timeout_script_record,
tf.strings.unsorted_segment_join,Abort,934,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.strings.unsorted_segment_join.yaml_workdir/Abort_script_record,tf20
tf.linalg.tensor_diag,Kill,80,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.tensor_diag.yaml_workdir/Kill_script_record,
tf.linalg.matrix_rank,Segmentation_Fault,63,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.matrix_rank.yaml_workdir/Segmentation_Fault_script_record,tf22
tf.linalg.pinv,Abort,5,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_eo/workdir/expect_ok_constr/tf.linalg.pinv.yaml_workdir/Abort_script_record,tf22
